Date,Open,High,Low,Close,Adj Close,Volume
1999-08-17,9.880000,9.880000,9.880000,9.880000,5.199601,0
1999-08-18,9.900000,9.900000,9.900000,9.900000,5.210126,0
1999-08-19,9.940000,9.940000,9.940000,9.940000,5.231175,0
1999-08-20,9.990000,9.990000,9.990000,9.990000,5.257490,0
1999-08-23,10.150000,10.150000,10.150000,10.150000,5.341693,0
1999-08-24,10.130000,10.130000,10.130000,10.130000,5.331168,0
1999-08-25,10.260000,10.260000,10.260000,10.260000,5.399580,0
1999-08-26,10.180000,10.180000,10.180000,10.180000,5.357482,0
1999-08-27,10.090000,10.090000,10.090000,10.090000,5.310114,0
1999-08-30,10.090000,10.090000,10.090000,10.090000,5.310114,0
1999-08-31,10.010000,10.010000,10.010000,10.010000,5.268015,0
1999-09-01,10.110000,10.110000,10.110000,10.110000,5.320639,0
1999-09-02,10.090000,10.090000,10.090000,10.090000,5.310114,0
1999-09-03,10.070000,10.070000,10.070000,10.070000,5.299592,0
1999-09-07,10.100000,10.100000,10.100000,10.100000,5.315382,0
1999-09-08,10.020000,10.020000,10.020000,10.020000,5.273274,0
1999-09-09,10.120000,10.120000,10.120000,10.120000,5.325906,0
1999-09-10,10.200000,10.200000,10.200000,10.200000,5.368009,0
1999-09-13,10.290000,10.290000,10.290000,10.290000,5.415371,0
1999-09-14,10.330000,10.330000,10.330000,10.330000,5.436424,0
1999-09-15,10.260000,10.260000,10.260000,10.260000,5.399580,0
1999-09-16,10.180000,10.180000,10.180000,10.180000,5.357482,0
1999-09-17,10.210000,10.210000,10.210000,10.210000,5.373269,0
1999-09-20,10.250000,10.250000,10.250000,10.250000,5.394322,0
1999-09-21,10.110000,10.110000,10.110000,10.110000,5.320639,0
1999-09-22,10.050000,10.050000,10.050000,10.050000,5.289067,0
1999-09-23,9.920000,9.920000,9.920000,9.920000,5.220649,0
1999-09-24,9.810000,9.810000,9.810000,9.810000,5.162759,0
1999-09-27,9.800000,9.800000,9.800000,9.800000,5.157499,0
1999-09-28,9.940000,9.940000,9.940000,9.940000,5.231175,0
1999-09-29,9.950000,9.950000,9.950000,9.950000,5.236437,0
1999-09-30,9.960000,9.960000,9.960000,9.960000,5.241704,0
1999-10-01,9.960000,9.960000,9.960000,9.960000,5.241704,0
1999-10-04,10.050000,10.050000,10.050000,10.050000,5.289067,0
1999-10-05,10.120000,10.120000,10.120000,10.120000,5.325906,0
1999-10-06,10.200000,10.200000,10.200000,10.200000,5.368009,0
1999-10-07,10.290000,10.290000,10.290000,10.290000,5.415371,0
1999-10-08,10.330000,10.330000,10.330000,10.330000,5.436424,0
1999-10-11,10.360000,10.360000,10.360000,10.360000,5.452211,0
1999-10-12,10.310000,10.310000,10.310000,10.310000,5.425894,0
1999-10-13,10.130000,10.130000,10.130000,10.130000,5.331168,0
1999-10-14,10.060000,10.060000,10.060000,10.060000,5.294328,0
1999-10-15,9.870000,9.870000,9.870000,9.870000,5.194335,0
1999-10-18,9.720000,9.720000,9.720000,9.720000,5.115396,0
1999-10-19,9.800000,9.800000,9.800000,9.800000,5.157499,0
1999-10-20,9.980000,9.980000,9.980000,9.980000,5.252228,0
1999-10-21,9.980000,9.980000,9.980000,9.980000,5.252228,0
1999-10-22,10.120000,10.120000,10.120000,10.120000,5.325906,0
1999-10-25,10.120000,10.120000,10.120000,10.120000,5.325906,0
1999-10-26,10.100000,10.100000,10.100000,10.100000,5.315382,0
1999-10-27,10.030000,10.030000,10.030000,10.030000,5.278538,0
1999-10-28,10.150000,10.150000,10.150000,10.150000,5.341693,0
1999-10-29,10.340000,10.340000,10.340000,10.340000,5.441688,0
1999-11-01,10.420000,10.420000,10.420000,10.420000,5.483790,0
1999-11-02,10.420000,10.420000,10.420000,10.420000,5.483790,0
1999-11-03,10.570000,10.570000,10.570000,10.570000,5.562728,0
1999-11-04,10.710000,10.710000,10.710000,10.710000,5.636409,0
1999-11-05,10.820000,10.820000,10.820000,10.820000,5.694298,0
1999-11-08,10.840000,10.840000,10.840000,10.840000,5.704823,0
1999-11-09,10.900000,10.900000,10.900000,10.900000,5.736400,0
1999-11-10,10.950000,10.950000,10.950000,10.950000,5.762712,0
1999-11-11,11.000000,11.000000,11.000000,11.000000,5.789028,0
1999-11-12,11.010000,11.010000,11.010000,11.010000,5.794294,0
1999-11-15,11.100000,11.100000,11.100000,11.100000,5.841659,0
1999-11-16,11.110000,11.110000,11.110000,11.110000,5.846920,0
1999-11-17,11.070000,11.070000,11.070000,11.070000,5.825866,0
1999-11-18,11.090000,11.090000,11.090000,11.090000,5.836394,0
1999-11-19,11.240000,11.240000,11.240000,11.240000,5.915331,0
1999-11-22,11.210000,11.210000,11.210000,11.210000,5.899548,0
1999-11-23,11.190000,11.190000,11.190000,11.190000,5.889018,0
1999-11-24,11.100000,11.100000,11.100000,11.100000,5.841659,0
1999-11-26,11.210000,11.210000,11.210000,11.210000,5.899548,0
1999-11-29,11.240000,11.240000,11.240000,11.240000,5.915331,0
1999-11-30,11.180000,11.180000,11.180000,11.180000,5.883760,0
1999-12-01,11.280000,11.280000,11.280000,11.280000,5.936386,0
1999-12-02,11.430000,11.430000,11.430000,11.430000,6.015330,0
1999-12-03,11.520000,11.520000,11.520000,11.520000,6.062692,0
1999-12-06,11.610000,11.610000,11.610000,11.610000,6.110055,0
1999-12-07,11.600000,11.600000,11.600000,11.600000,6.104796,0
1999-12-08,11.710000,11.710000,11.710000,11.710000,6.162682,0
1999-12-09,11.840000,11.840000,11.840000,11.840000,6.231103,0
1999-12-10,12.000000,12.000000,12.000000,12.000000,6.315302,0
1999-12-13,12.140000,12.140000,12.140000,12.140000,6.388982,0
1999-12-14,12.000000,12.000000,12.000000,12.000000,6.315302,0
1999-12-15,11.920000,11.920000,11.920000,11.920000,6.273203,0
1999-12-16,11.950000,11.950000,11.950000,11.950000,6.288985,0
1999-12-17,12.140000,12.140000,12.140000,12.140000,6.388982,0
1999-12-20,12.250000,12.250000,12.250000,12.250000,6.446873,0
1999-12-21,12.280000,12.280000,12.280000,12.280000,6.462657,0
1999-12-22,12.300000,12.300000,12.300000,12.300000,6.473187,0
1999-12-23,12.040000,12.040000,12.040000,12.040000,6.478568,0
1999-12-27,12.240000,12.240000,12.240000,12.240000,6.586186,0
1999-12-28,12.250000,12.250000,12.250000,12.250000,6.591565,0
1999-12-29,12.360000,12.360000,12.360000,12.360000,6.650749,0
1999-12-30,12.490000,12.490000,12.490000,12.490000,6.720705,0
1999-12-31,12.500000,12.500000,12.500000,12.500000,6.726085,0
2000-01-03,12.660000,12.660000,12.660000,12.660000,6.812182,0
2000-01-04,12.450000,12.450000,12.450000,12.450000,6.699183,0
2000-01-05,12.170000,12.170000,12.170000,12.170000,6.548518,0
2000-01-06,11.990000,11.990000,11.990000,11.990000,6.451662,0
2000-01-07,12.240000,12.240000,12.240000,12.240000,6.586186,0
2000-01-10,12.580000,12.580000,12.580000,12.580000,6.769135,0
2000-01-11,12.450000,12.450000,12.450000,12.450000,6.699183,0
2000-01-12,12.430000,12.430000,12.430000,12.430000,6.688424,0
2000-01-13,12.630000,12.630000,12.630000,12.630000,6.796040,0
2000-01-14,12.840000,12.840000,12.840000,12.840000,6.909034,0
2000-01-18,12.970000,12.970000,12.970000,12.970000,6.978988,0
2000-01-19,12.700000,12.700000,12.700000,12.700000,6.833701,0
2000-01-20,12.690000,12.690000,12.690000,12.690000,6.828321,0
2000-01-21,12.520000,12.520000,12.520000,12.520000,6.736846,0
2000-01-24,12.490000,12.490000,12.490000,12.490000,6.720705,0
2000-01-25,12.330000,12.330000,12.330000,12.330000,6.634613,0
2000-01-26,12.360000,12.360000,12.360000,12.360000,6.650749,0
2000-01-27,12.370000,12.370000,12.370000,12.370000,6.656131,0
2000-01-28,12.150000,12.150000,12.150000,12.150000,6.537753,0
2000-01-31,11.890000,11.890000,11.890000,11.890000,6.397851,0
2000-02-01,12.050000,12.050000,12.050000,12.050000,6.483943,0
2000-02-02,12.140000,12.140000,12.140000,12.140000,6.532378,0
2000-02-03,12.420000,12.420000,12.420000,12.420000,6.683035,0
2000-02-04,12.560000,12.560000,12.560000,12.560000,6.758376,0
2000-02-07,12.730000,12.730000,12.730000,12.730000,6.849846,0
2000-02-08,12.790000,12.790000,12.790000,12.790000,6.882131,0
2000-02-09,12.810000,12.810000,12.810000,12.810000,6.892892,0
2000-02-10,12.890000,12.890000,12.890000,12.890000,6.935942,0
2000-02-11,12.860000,12.860000,12.860000,12.860000,6.919796,0
2000-02-14,12.720000,12.720000,12.720000,12.720000,6.844465,0
2000-02-15,12.670000,12.670000,12.670000,12.670000,6.817562,0
2000-02-16,12.670000,12.670000,12.670000,12.670000,6.817562,0
2000-02-17,12.650000,12.650000,12.650000,12.650000,6.806800,0
2000-02-18,12.530000,12.530000,12.530000,12.530000,6.742228,0
2000-02-22,12.220000,12.220000,12.220000,12.220000,6.575424,0
2000-02-23,12.390000,12.390000,12.390000,12.390000,6.666895,0
2000-02-24,12.520000,12.520000,12.520000,12.520000,6.736846,0
2000-02-25,12.490000,12.490000,12.490000,12.490000,6.720705,0
2000-02-28,12.250000,12.250000,12.250000,12.250000,6.591565,0
2000-02-29,12.310000,12.310000,12.310000,12.310000,6.623850,0
2000-03-01,12.470000,12.470000,12.470000,12.470000,6.709943,0
2000-03-02,12.550000,12.550000,12.550000,12.550000,6.752989,0
2000-03-03,12.630000,12.630000,12.630000,12.630000,6.796040,0
2000-03-06,12.680000,12.680000,12.680000,12.680000,6.822936,0
2000-03-07,12.700000,12.700000,12.700000,12.700000,6.833701,0
2000-03-08,12.790000,12.790000,12.790000,12.790000,6.882131,0
2000-03-09,12.910000,12.910000,12.910000,12.910000,6.946700,0
2000-03-10,12.910000,12.910000,12.910000,12.910000,6.946700,0
2000-03-13,12.590000,12.590000,12.590000,12.590000,6.774514,0
2000-03-14,12.470000,12.470000,12.470000,12.470000,6.709943,0
2000-03-15,12.400000,12.400000,12.400000,12.400000,6.672276,0
2000-03-16,12.470000,12.470000,12.470000,12.470000,6.709943,0
2000-03-17,12.590000,12.590000,12.590000,12.590000,6.774514,0
2000-03-20,12.460000,12.460000,12.460000,12.460000,6.704560,0
2000-03-21,12.510000,12.510000,12.510000,12.510000,6.731467,0
2000-03-22,12.490000,12.490000,12.490000,12.490000,6.720705,0
2000-03-23,12.630000,12.630000,12.630000,12.630000,6.796040,0
2000-03-24,12.740000,12.740000,12.740000,12.740000,6.855226,0
2000-03-27,12.840000,12.840000,12.840000,12.840000,6.909034,0
2000-03-28,12.680000,12.680000,12.680000,12.680000,6.822936,0
2000-03-29,12.500000,12.500000,12.500000,12.500000,6.726085,0
2000-03-30,12.190000,12.190000,12.190000,12.190000,6.559280,0
2000-03-31,12.190000,12.190000,12.190000,12.190000,6.559280,0
2000-04-03,12.010000,12.010000,12.010000,12.010000,6.462426,0
2000-04-04,11.930000,11.930000,11.930000,11.930000,6.419375,0
2000-04-05,11.800000,11.800000,11.800000,11.800000,6.349426,0
2000-04-06,12.040000,12.040000,12.040000,12.040000,6.478568,0
