Date,Open,High,Low,Close,Adj Close,Volume
1999-08-17,10.090000,10.090000,10.090000,10.090000,3.370475,0
1999-08-18,10.090000,10.090000,10.090000,10.090000,3.370475,0
1999-08-19,10.070000,10.070000,10.070000,10.070000,3.363795,0
1999-08-20,10.080000,10.080000,10.080000,10.080000,3.367136,0
1999-08-23,10.080000,10.080000,10.080000,10.080000,3.367136,0
1999-08-24,10.120000,10.120000,10.120000,10.120000,3.380497,0
1999-08-25,10.210000,10.210000,10.210000,10.210000,3.410560,0
1999-08-26,10.210000,10.210000,10.210000,10.210000,3.410560,0
1999-08-27,10.110000,10.110000,10.110000,10.110000,3.377157,0
1999-08-30,10.010000,10.010000,10.010000,10.010000,3.343753,0
1999-08-31,9.990000,9.990000,9.990000,9.990000,3.354161,0
1999-09-01,9.980000,9.980000,9.980000,9.980000,3.350803,0
1999-09-02,9.920000,9.920000,9.920000,9.920000,3.330657,0
1999-09-03,10.040000,10.040000,10.040000,10.040000,3.370947,0
1999-09-07,9.970000,9.970000,9.970000,9.970000,3.347444,0
1999-09-08,9.990000,9.990000,9.990000,9.990000,3.354161,0
1999-09-09,9.950000,9.950000,9.950000,9.950000,3.340728,0
1999-09-10,10.030000,10.030000,10.030000,10.030000,3.367589,0
1999-09-13,9.990000,9.990000,9.990000,9.990000,3.354161,0
1999-09-14,9.930000,9.930000,9.930000,9.930000,3.334015,0
1999-09-15,9.950000,9.950000,9.950000,9.950000,3.340728,0
1999-09-16,9.990000,9.990000,9.990000,9.990000,3.354161,0
1999-09-17,10.030000,10.030000,10.030000,10.030000,3.367589,0
1999-09-20,10.000000,10.000000,10.000000,10.000000,3.357517,0
1999-09-21,9.980000,9.980000,9.980000,9.980000,3.350803,0
1999-09-22,10.000000,10.000000,10.000000,10.000000,3.357517,0
1999-09-23,10.070000,10.070000,10.070000,10.070000,3.381020,0
1999-09-24,10.150000,10.150000,10.150000,10.150000,3.407879,0
1999-09-27,10.080000,10.080000,10.080000,10.080000,3.384380,0
1999-09-28,10.030000,10.030000,10.030000,10.030000,3.367589,0
1999-09-29,9.950000,9.950000,9.950000,9.950000,3.340728,0
1999-09-30,10.030000,10.030000,10.030000,10.030000,3.384940,0
1999-10-01,9.930000,9.930000,9.930000,9.930000,3.351191,0
1999-10-04,9.980000,9.980000,9.980000,9.980000,3.368066,0
1999-10-05,9.900000,9.900000,9.900000,9.900000,3.341067,0
1999-10-06,9.910000,9.910000,9.910000,9.910000,3.344441,0
1999-10-07,9.900000,9.900000,9.900000,9.900000,3.341067,0
1999-10-08,9.910000,9.910000,9.910000,9.910000,3.344441,0
1999-10-11,9.910000,9.910000,9.910000,9.910000,3.344441,0
1999-10-12,9.870000,9.870000,9.870000,9.870000,3.330942,0
1999-10-13,9.820000,9.820000,9.820000,9.820000,3.314069,0
1999-10-14,9.790000,9.790000,9.790000,9.790000,3.303942,0
1999-10-15,9.850000,9.850000,9.850000,9.850000,3.324193,0
1999-10-18,9.810000,9.810000,9.810000,9.810000,3.310694,0
1999-10-19,9.770000,9.770000,9.770000,9.770000,3.297197,0
1999-10-20,9.770000,9.770000,9.770000,9.770000,3.297197,0
1999-10-21,9.760000,9.760000,9.760000,9.760000,3.293818,0
1999-10-22,9.760000,9.760000,9.760000,9.760000,3.293818,0
1999-10-25,9.760000,9.760000,9.760000,9.760000,3.293818,0
1999-10-26,9.740000,9.740000,9.740000,9.740000,3.287068,0
1999-10-27,9.800000,9.800000,9.800000,9.800000,3.307318,0
1999-10-28,9.880000,9.880000,9.880000,9.880000,3.334318,0
1999-10-29,9.990000,9.990000,9.990000,9.990000,3.389280,0
1999-11-01,9.950000,9.950000,9.950000,9.950000,3.375708,0
1999-11-02,9.990000,9.990000,9.990000,9.990000,3.389280,0
1999-11-03,10.000000,10.000000,10.000000,10.000000,3.392671,0
1999-11-04,10.050000,10.050000,10.050000,10.050000,3.409634,0
1999-11-05,10.100000,10.100000,10.100000,10.100000,3.426601,0
1999-11-08,10.080000,10.080000,10.080000,10.080000,3.419812,0
1999-11-09,10.080000,10.080000,10.080000,10.080000,3.419812,0
1999-11-10,10.060000,10.060000,10.060000,10.060000,3.413028,0
1999-11-11,10.060000,10.060000,10.060000,10.060000,3.413028,0
1999-11-12,10.130000,10.130000,10.130000,10.130000,3.436775,0
1999-11-15,10.130000,10.130000,10.130000,10.130000,3.436775,0
1999-11-16,10.110000,10.110000,10.110000,10.110000,3.429994,0
1999-11-17,10.040000,10.040000,10.040000,10.040000,3.406241,0
