Date,Open,High,Low,Close,Adj Close,Volume
1999-08-17,24.520000,24.520000,24.520000,24.520000,9.824265,0
1999-08-18,24.299999,24.299999,24.299999,24.299999,9.736116,0
1999-08-19,24.469999,24.469999,24.469999,24.469999,9.804230,0
1999-08-20,24.480000,24.480000,24.480000,24.480000,9.808241,0
1999-08-23,24.620001,24.620001,24.620001,24.620001,9.864330,0
1999-08-24,24.360001,24.360001,24.360001,24.360001,9.760157,0
1999-08-25,24.000000,24.000000,24.000000,24.000000,9.615919,0
1999-08-26,23.750000,23.750000,23.750000,23.750000,9.515753,0
1999-08-27,23.670000,23.670000,23.670000,23.670000,9.483699,0
1999-08-30,23.490000,23.490000,23.490000,23.490000,9.411578,0
1999-08-31,23.820000,23.820000,23.820000,23.820000,9.543798,0
1999-09-01,23.910000,23.910000,23.910000,23.910000,9.579858,0
1999-09-02,23.590000,23.590000,23.590000,23.590000,9.451647,0
1999-09-03,23.870001,23.870001,23.870001,23.870001,9.563832,0
1999-09-07,24.330000,24.330000,24.330000,24.330000,9.748137,0
1999-09-08,24.320000,24.320000,24.320000,24.320000,9.744131,0
1999-09-09,24.930000,24.930000,24.930000,24.930000,9.988533,0
1999-09-10,24.889999,24.889999,24.889999,24.889999,9.972507,0
1999-09-13,24.650000,24.650000,24.650000,24.650000,9.876353,0
1999-09-14,24.360001,24.360001,24.360001,24.360001,9.760157,0
1999-09-15,24.049999,24.049999,24.049999,24.049999,9.635949,0
1999-09-16,23.950001,23.950001,23.950001,23.950001,9.595885,0
1999-09-17,24.080000,24.080000,24.080000,24.080000,9.647971,0
1999-09-20,23.750000,23.750000,23.750000,23.750000,9.515753,0
1999-09-21,23.110001,23.110001,23.110001,23.110001,9.259328,0
1999-09-22,23.070000,23.070000,23.070000,23.070000,9.243300,0
1999-09-23,22.860001,22.860001,22.860001,22.860001,9.159162,0
1999-09-24,22.430000,22.430000,22.430000,22.430000,8.986876,0
1999-09-27,22.700001,22.700001,22.700001,22.700001,9.095058,0
1999-09-28,22.160000,22.160000,22.160000,22.160000,8.878698,0
